tag,game_count,median_owner_mid,median_review_count,median_positive_rate_30plus,median_recommendations,median_peak_ccu,free_operation_score
VR,1004,10000.0,31.0,78.04878048780488,0.0,0.0,-0.5314959492131546
Turn-Based Combat,186,35000.0,42.5,76.0,0.0,0.0,-0.5361966348432191
Immersive Sim,104,10000.0,29.5,78.07075732448867,0.0,0.0,-0.5488424412850444
Dark Fantasy,143,35000.0,51.0,74.58745874587459,0.0,0.0,-0.5523530265793072
Tanks,52,75000.0,177.0,66.66666666666666,0.0,0.0,-0.5535829803641272
Stealth,130,35000.0,47.5,74.78260869565217,0.0,0.0,-0.5676368119270941
Dystopian,73,35000.0,32.0,77.20588235294117,0.0,0.0,-0.5706013267359934
Action RPG,227,35000.0,88.0,70.58823529411765,0.0,0.0,-0.5856193733198992
Action-Adventure,385,10000.0,32.0,76.7175572519084,0.0,0.0,-0.6001924478052739
Futuristic,196,35000.0,35.0,76.14896988906497,0.0,0.0,-0.6007950247506857
Medieval,198,35000.0,74.5,71.35258358662614,0.0,0.0,-0.6033030174340676
Wargame,99,35000.0,76.0,71.16461366181412,0.0,0.0,-0.6070396760433685
Turn-Based Tactics,182,35000.0,50.0,73.64253393665159,0.0,0.0,-0.6171675027597752
Audio Production,43,10000.0,30.0,76.82291666666667,0.0,0.0,-0.6181318218553756
Survival Horror,191,35000.0,83.0,70.4225352112676,0.0,0.0,-0.6181553226012283
Science,52,35000.0,23.5,78.23552713485371,0.0,0.0,-0.6240817392758393
3D Vision,48,55000.0,45.0,73.1827111984283,0.0,0.0,-0.6851758031379133
Third-Person Shooter,160,75000.0,113.5,67.17887908577337,0.0,0.0,-0.6941988120920718
Combat,344,10000.0,26.5,76.14678899082568,0.0,0.0,-0.7057125027448313
Artificial Intelligence,80,10000.0,22.5,77.07070707070707,0.0,0.0,-0.710879513730959
CRPG,67,35000.0,42.0,72.56410256410257,0.0,0.0,-0.7489001049226028
Early Access,986,10000.0,61.0,70.06622516556291,0.0,0.0,-0.7578958627153441
Software Training,49,10000.0,26.0,75.0,0.0,0.0,-0.7823434986056418
Perma Death,69,10000.0,36.0,72.86245353159852,0.0,0.0,-0.7892889203895269
PvE,316,35000.0,44.5,71.31284100025306,0.0,0.0,-0.8027366621369385
Aliens,104,35000.0,29.5,73.59631297598125,0.0,0.0,-0.8199811235981525
3D Fighter,58,10000.0,22.5,74.6169228885631,0.0,0.0,-0.859571900540776
Video Production,84,10000.0,24.0,71.73467280344605,0.0,0.0,-1.0101551756416176
