appid,name,genres_items,categories_items,tags_items,genres_item_count,categories_item_count,tags_item_count,review_count_calc,positive_rate_calc,recommendations,peak_ccu,attention_score_descriptive,is_indie_positioned
1970980,Warlord: Britannia,"['Action', 'Adventure', 'Indie', 'Strategy']","['Single-player', 'Steam Achievements', 'Steam Cloud', 'Family Sharing']","['Open World', 'Strategy', 'Base-Building', 'Rome', 'Indie', 'Historical', 'First-Person', 'Action', 'Adventure', 'Sandbox', 'Combat', '3D', 'Singleplayer', 'Resource Management', 'Atmospheric', 'Stylized']",4,4,16,1694,88.66587957497049,1649,15,2.055754404745832,True
1482860,Idle Research,"['Adventure', 'Casual', 'Free To Play', 'Indie', 'Simulation', 'Strategy', 'Early Access']","['Single-player', 'Steam Achievements', 'In-App Purchases']","['Idler', 'Clicker', 'Free to Play', 'Simulation', 'Strategy', 'Adventure', 'Resource Management', 'Automation', 'Early Access', 'Management', '2D', 'Minimalist', 'Crafting', 'Diplomacy', 'Cartoony', 'Text-Based', 'Indie', 'Relaxing', 'Tutorial', 'Colorful']",7,3,20,1644,85.21897810218978,0,130,1.6825582798485461,True
1861970,Mister Furry,"['Action', 'Adventure', 'Casual', 'Indie', 'Massively Multiplayer', 'RPG', 'Simulation']","['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Steam Achievements', 'Steam Trading Cards', 'Family Sharing']",[],7,7,0,0,,1626,12,0.972945446014692,True
2127010,Handyman Legend,"['Casual', 'Indie', 'RPG', 'Simulation']","['Single-player', 'Steam Achievements', 'Steam Cloud', 'Family Sharing']",[],4,4,0,0,,1646,27,1.1864540743375451,True
635200,Distrust: Polar Survival,"['Adventure', 'Indie', 'Strategy']","['Single-player', 'Multi-player', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud', 'Family Sharing']","['Survival', 'Multiplayer', 'Isometric', 'Adventure', 'Co-op', 'Procedural Generation', 'Horror', 'Psychedelic', 'Survival Horror', 'Singleplayer', 'Top-Down', 'Atmospheric', 'Tactical', 'Online Co-Op', 'Sci-fi', 'Exploration', 'Point & Click', 'Psychological Horror', 'Rogue-lite', 'Strategy']",3,9,20,2393,72.0434600919348,1646,3,1.7201149085216,True
598810,Carcassonne - Tiles & Tactics,"['Casual', 'Strategy']","['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'Shared/Split Screen PvP', 'Shared/Split Screen', 'Cross-Platform Multiplayer', 'In-App Purchases', 'Steam Turn Notifications', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play Together', 'Family Sharing']","['Board Game', 'Strategy', 'Tabletop', 'Multiplayer', 'Casual', 'Turn-Based', 'Turn-Based Strategy', 'Family Friendly', 'Medieval', 'Addictive', 'Puzzle', 'Singleplayer', 'Local Multiplayer', '3D', 'Top-Down', 'PvP', 'Atmospheric', 'Puzzle-Platformer', 'Turn-Based Tactics', 'Replay Value']",2,13,20,2366,85.46069315300085,1643,61,2.475433495557389,False
375600,Air Brawl,"['Action', 'Indie']","['Multi-player', 'Partial Controller Support']","['Action', 'Flight', 'Indie', 'Multiplayer', 'Free to Play', 'Fast-Paced', 'Shooter']",2,2,7,1639,78.40146430750458,321,3,1.4587701362892727,True
237890,Agarest: Generations of War,"['Adventure', 'RPG', 'Strategy']","['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Steam Leaderboards', 'Family Sharing']","['JRPG', 'Tactical RPG', 'Anime', 'Visual Novel', 'CRPG', 'Turn-Based', 'Party-Based RPG', 'Strategy RPG', 'RPG', 'Character Customization', 'Strategy', 'Romance', 'Dating Sim', 'Story Rich', 'Multiple Endings', 'Turn-Based Combat', 'Fantasy', 'Tactical', 'Adventure', 'Nudity']",3,7,20,1841,71.48288973384031,1641,8,1.9076460410197071,False
1000030,"Cook, Serve, Delicious! 3?!","['Action', 'Indie', 'Simulation', 'Strategy']","['Single-player', 'Multi-player', 'Co-op', 'Shared/Split Screen Co-op', 'Shared/Split Screen', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud', 'Remote Play on Phone', 'Remote Play on Tablet', 'Remote Play on TV', 'Remote Play Together', 'Family Sharing']","['Typing', 'Management', 'Difficult', 'Casual', 'Arcade', 'Strategy', '2D', 'Funny', 'Simulation', 'Co-op', 'Comedy', 'Family Friendly', 'Action', 'Local Co-Op', 'Multiplayer', 'Local Multiplayer', 'Cooking', 'Singleplayer', 'Co-op Campaign', 'Fast-Paced']",4,14,20,2122,90.9990574929312,1637,36,2.317390260127986,True
331160,Disney•Pixar Cars,"['Adventure', 'Racing']","['Single-player', 'Multi-player', 'Shared/Split Screen', 'Partial Controller Support', 'Steam Cloud', 'Remote Play Together', 'Family Sharing']","['Racing', 'Story Rich', 'Family Friendly', 'Open World', 'Great Soundtrack', 'Adventure', 'Action', 'Singleplayer', 'Atmospheric', 'Multiplayer', 'Cute', 'Funny', ""Shoot 'Em Up"", 'Cult Classic', 'Nostalgia', 'Classic', 'Combat', 'Simulation', 'Third Person', 'Fantasy']",2,7,20,2509,90.63371861299322,1640,9,1.9792720908818786,False
1416230,Panzer Knights,"['Action', 'Indie']","['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Workshop', 'Partial Controller Support', 'Steam Cloud', 'Family Sharing']","['Tanks', 'Anime', 'World War II', 'War', 'Cartoony', 'Third Person', 'Vehicular Combat', 'Wargame', 'Action', 'Simulation', 'Third-Person Shooter', 'Shooter', 'Combat', 'Indie', 'Linear', 'Singleplayer', 'Female Protagonist', 'Cartoon', 'Military', '3D']",2,7,20,1730,80.92485549132948,1639,13,2.0209824255450344,True
1924140,ISEKAI FRONTLINE,"['Action', 'Adventure', 'Casual', 'Indie', 'RPG']","['Single-player', 'Steam Cloud', 'Family Sharing']",[],5,3,0,0,,1633,20,1.10597040031118,True
39530,Painkiller: Black Edition,['Action'],['Family Sharing'],"['Gore', 'Action', 'FPS', 'Classic', 'Shooter', 'Great Soundtrack', 'First-Person', 'Singleplayer', 'Demons', 'Arena Shooter', 'Horror', 'Atmospheric', 'Fast-Paced', 'Multiplayer', 'Violent', 'Gothic', 'Zombies', 'Cult Classic', 'Dark', 'Boomer Shooter']",1,1,20,1991,89.35208437970869,1638,21,2.165092635762483,False
250500,Super Amazing Wagon Adventure,"['Action', 'Adventure', 'Indie']","['Single-player', 'Full controller support', 'Family Sharing']","['Action Roguelike', 'Side Scroller', ""Shoot 'Em Up"", 'Twin Stick Shooter', 'Western', 'Rogue-lite', 'Comedy', 'Perma Death', 'Difficult', 'Shooter', 'Rogue-like', '2D', 'Funny', 'Action', 'Pixel Graphics', 'Adventure', 'Retro', 'Singleplayer', 'Indie', 'Replay Value']",3,3,20,1922,95.31737773152965,1638,1,1.4978585496346755,True
318100,AXYOS,"['Action', 'Casual', 'Indie', 'Massively Multiplayer', 'Strategy']","['Single-player', 'Multi-player', 'PvP', 'Online PvP', 'LAN PvP', 'Steam Achievements', 'Steam Trading Cards', 'Partial Controller Support', 'Steam Cloud', 'Stats', 'Family Sharing']","['Hero Shooter', 'FPS', 'Wargame', 'MOBA', 'Multiplayer', 'PvP', 'PvE', 'Shooter', 'Strategy', 'First-Person', '3D', 'Open World', 'Action', 'Casual', 'Realistic', 'Military', 'Sniper', 'Survival', 'War', 'Modern']",5,11,20,2284,51.26970227670753,1640,0,1.3302895412305962,True
1148350,The Powder Toy,['Simulation'],['Single-player'],[],1,1,0,0,,0,0,-0.6836679568873337,False
