tag_a,tag_b,cooccurrence_count,jaccard_similarity
Early Access,Family Friendly,650,0.04030757782463103
Strategy,Action-Adventure,862,0.03807588674411414
Cute,Shooter,676,0.03800528475853151
Action-Adventure,Relaxing,572,0.03785572468563865
Multiplayer,Relaxing,597,0.03768701470866738
Strategy,Horror,858,0.03737910603816328
Fantasy,Shooter,623,0.03678337367892779
Early Access,Platformer,588,0.03631871525633107
Story Rich,Early Access,717,0.03627441060406759
RPG,Relaxing,741,0.03599358818671977
Early Access,Retro,592,0.035802842455397645
Puzzle,Multiplayer,775,0.035323609845031904
Puzzle,Early Access,764,0.03418956412780811
Action,Relaxing,1313,0.033973297453943285
Fantasy,Horror,590,0.03378958822518756
Story Rich,Multiplayer,631,0.03243048774220075
Cute,First-Person,597,0.029187444998533294
Cute,Horror,522,0.0283203125
RPG,Arcade,643,0.02807247325911373
RPG,Platformer,573,0.027681159420289855
Arcade,Horror,483,0.0272419627749577
First-Person,Platformer,468,0.02664086070473046
Horror,Platformer,412,0.02653613293829705
RPG,Family Friendly,518,0.024960246711318846
Colorful,Horror,487,0.024729599350022852
Shooter,Family Friendly,351,0.023254273221147474
Story Rich,Arcade,475,0.022961280030937302
3D,Pixel Graphics,596,0.02277503916848179
Strategy,Platformer,509,0.022575065418902737
Pixel Graphics,First-Person,486,0.022321223533734443
Puzzle,Shooter,439,0.020571696344892223
Simulation,Platformer,422,0.018482831114225648
Shooter,Relaxing,250,0.016391292945187517
2D,3D,550,0.01482679606415959
Horror,Family Friendly,221,0.014062997136493796
2D,First-Person,428,0.013084283574332794
Horror,Relaxing,177,0.011191198786039453
