tag,game_count,reliable_review_game_count,median_review_count,mean_review_count,median_positive_rate_30plus,median_recommendations,median_peak_ccu,mean_attention_score,free_share,median_price,median_release_year,game_share,competition_level
Epic,111,94,1002.0,15739.855855855856,87.90894827232827,507.0,3.0,1.5135038255520719,0.04504504504504504,12.99,2018.0,0.0012385904617375973,Low
Episodic,155,110,157.0,4858.245161290322,86.05816140318407,111.0,0.0,0.8081843039286133,0.16129032258064516,5.99,2019.0,0.0017295632573813297,Low
Escape Room,375,222,48.0,1353.9066666666668,85.01994017946161,0.0,0.0,0.4437842228004337,0.04,4.99,2022.0,0.004184427235599991,Medium
Experience,190,109,48.5,579.9105263157895,82.53968253968253,0.0,0.0,0.1730833731850884,0.22631578947368422,3.99,2020.0,0.0021201097993706623,Low
Experimental,1116,584,32.5,564.0537634408602,83.8467186264543,0.0,0.0,0.10605395339115559,0.15681003584229392,3.19,2020.0,0.012452855453145574,High
Exploration,11053,5412,28.0,2369.695557767122,82.68891002989943,0.0,0.0,0.25336106659550905,0.0509363973581833,5.99,2022.0,0.1233345979602312,Very High
Extraction Shooter,33,30,1672.0,41866.93939393939,74.90763251997636,1618.0,19.0,2.1303322168479784,0.030303030303030304,19.99,2024.0,0.0003682295967327992,Low
FMV,451,306,65.0,912.8115299334811,81.26509661835749,0.0,0.0,0.4096147926722379,0.026607538802660754,6.99,2022.0,0.005032471155348256,Medium
FPS,4634,2493,38.0,8755.565602071645,77.30627306273063,0.0,0.0,0.4012928505234593,0.11350884764782046,4.99,2021.0,0.05170836215938762,Very High
Faith,354,183,31.0,643.3870056497175,89.84375,0.0,0.0,0.17368669758138805,0.05649717514124294,4.99,2022.0,0.003950099310406392,Medium
Family Friendly,7589,3299,22.0,1496.4086177361971,85.71428571428571,0.0,0.0,0.14873496509233944,0.05666095664777968,4.99,2021.0,0.08468164877591555,Very High
Fantasy,9704,4537,24.0,2346.7689612530917,83.22968490878938,0.0,0.0,0.2599661648859384,0.06976504534212696,6.34,2022.0,0.1082818183846995,Very High
Farming,167,109,97.0,1228.820359281437,80.77786972455372,0.0,0.0,0.7162063640216072,0.05389221556886228,9.99,2022.0,0.0018634649289205293,Low
Farming Sim,700,407,48.0,2948.0514285714285,81.04575163398692,0.0,0.0,0.5442457742977569,0.04,7.99,2023.0,0.00781093083978665,Medium
Fast-Paced,1671,1007,47.0,7719.687013764213,84.88372093023256,0.0,0.0,0.3392525183286117,0.09036505086774387,4.99,2019.0,0.018645807761833562,High
Feature Film,16,7,19.5,230.875,75.88383838383838,0.0,0.0,0.057193024943828365,0.1875,2.49,2020.0,0.00017853556205226628,Low
Female Protagonist,6474,4052,65.0,1629.5211615693543,84.75543450118582,0.0,0.0,0.42254994616033464,0.0551436515291937,7.49,2021.0,0.07223995179539824,Very High
